Suburb,State,Postcode,Population,Population_Growth_Pct,Median_Age,Household_Size,Renters_Pct,Owners_Pct,Families_Pct
Howlong,NSW,2643,3000,0.2,46,2.4,38,62,64
Mount Morgan,QLD,4714,2100,-0.3,47,2.2,42,58,61
